Shuffle,Fold,n_estimators,lr,depth,MSE,MSE_B,RMSE,RMSE_B,R-squared,R-squared_B,MAE,MAE_B,MAPE,MAPE_B
9,5,200,0.001,20,10995984.07,2309551.244,3316.01931,1519.720778,0.301888717,0.853371579,2674.615883,1114.339626,1.41938E+13,5.453E+12
10,1,200,0.001,20,10573737.25,2497129.246,3251.728348,1580.230757,0.302125327,0.835187577,2617.771542,1157.453869,3.70963E+12,1.33024E+12
10,2,200,0.001,20,10384155.63,2300640.181,3222.445598,1516.786136,0.304127755,0.84582746,2591.946587,1127.648375,1.3803E+13,5.4971E+12
10,3,200,0.001,20,10304496.68,2496356.013,3210.061787,1579.98608,0.307033672,0.832122741,2580.736836,1152.591719,3.111E+12,1.40395E+12
10,4,200,0.001,20,11163005.92,2562192.361,3341.108487,1600.684966,0.305845173,0.8406739,2691.824003,1163.661688,3.13468E+12,1.34489E+12
10,5,200,0.001,20,11025176.57,2532862.269,3320.418132,1591.496864,0.30350658,0.839991506,2672.449806,1150.752749,3.1019E+12,1.62733E+12
1,1,200,0.01,3,3290706.794,2561519.826,1814.030538,1600.474875,0.781701293,0.830074054,1396.667393,1179.94434,7.8528E+12,2.72069E+12
1,2,200,0.01,3,3165414.885,2357232.627,1779.161287,1535.328182,0.793535076,0.846248952,1364.821515,1107.778047,7.64992E+12,2.67465E+12
1,3,200,0.01,3,3016746.897,2517434.469,1736.878492,1586.642515,0.804965563,0.837246401,1342.892845,1153.791853,1.16363E+13,4.37665E+12
1,4,200,0.01,3,3208869.803,2468380.509,1791.331852,1571.108051,0.797440011,0.844183417,1412.963967,1155.781088,21.51343203,11.72050115
1,5,200,0.01,3,2928479.136,2484561.957,1711.27997,1576.249332,0.80680959,0.8360946,1340.967726,1154.811709,4.0154E+12,1.43098E+12
